name,parent,start,end,type
chromosomeI,null,1,50000,chromosome
cassava4.1_012921m.g,chromosomeI,8260,15046,gene
cassava4.1_012921m,cassava4.1_012921m.g,8260,15046,transcript
PAC:17967856.CDS.1,cassava4.1_012921m,9850,10232,CDS
PAC:17967856.CDS.2,cassava4.1_012921m,14217,14721,CDS
cassava4.1_032021m.g,chromosomeI,17167,18209,gene
cassava4.1_032021m,cassava4.1_032021m.g,17167,18209,transcript
PAC:17967858.CDS.1,cassava4.1_032021m,17167,17314,CDS
PAC:17967858.CDS.2,cassava4.1_032021m,17404,17484,CDS
PAC:17967858.CDS.3,cassava4.1_032021m,17607,17881,CDS
PAC:17967858.CDS.4,cassava4.1_032021m,18009,18209,CDS
cassava4.1_018871m.g,chromosomeI,39560,40433,gene
cassava4.1_018871m,cassava4.1_018871m.g,39560,40433,transcript
PAC:17967850.CDS.1,cassava4.1_018871m,39623,39765,CDS
PAC:17967850.CDS.2,cassava4.1_018871m,39877,40144,CDS
cassava4.1_007010m.g,chromosomeI,42479,46245,gene
cassava4.1_007010m,cassava4.1_007010m.g,42479,46245,transcript
PAC:17967843.CDS.1,cassava4.1_007010m,44750,45416,CDS
PAC:17967843.CDS.2,cassava4.1_007010m,44420,44641,CDS
PAC:17967843.CDS.3,cassava4.1_007010m,43532,43779,CDS
PAC:17967843.CDS.4,cassava4.1_007010m,43159,43298,CDS
PAC:17967843.CDS.5,cassava4.1_007010m,42809,42935,CDS
